period,region_code,region_name,export_usd,import_usd,balance_usd,source
2022-06,CN,중국,12960972678.0,14158523851.0,-1197551173.0,관세청 국가별 수출입실적 집계
2022-06,EU27,EU(27),5235365687.0,5630970147.0,-395604460.0,관세청 국가별 수출입실적 집계
2022-06,IN,인도,1428531881.0,855861917.0,572669964.0,관세청 국가별 수출입실적 집계
2022-06,JP,일본,2651096368.0,4530262007.0,-1879165639.0,관세청 국가별 수출입실적 집계
2022-06,LATAM,중남미,2047559483.0,2472732934.0,-425173451.0,관세청 국가별 수출입실적 집계
2022-06,MIDDLE_EAST,중동,1907044499.0,8225715523.0,-6318671024.0,관세청 국가별 수출입실적 집계
2022-06,US,미국,9768741294.0,6769779446.0,2998961848.0,관세청 국가별 수출입실적 집계
2022-07,ASEAN,아세안,11425642468.0,7038121989.0,4387520479.0,관세청 국가별 수출입실적 집계
2022-07,CIS,CIS,981706481.0,1258347018.0,-276640537.0,관세청 국가별 수출입실적 집계
2022-07,CN,중국,13214288402.0,13823354140.0,-609065738.0,관세청 국가별 수출입실적 집계
2022-07,EU27,EU(27),6155317648.0,5552899296.0,602418352.0,관세청 국가별 수출입실적 집계
2022-07,IN,인도,2361418364.0,844864877.0,1516553487.0,관세청 국가별 수출입실적 집계
2022-07,JP,일본,2494966315.0,4543697058.0,-2048730743.0,관세청 국가별 수출입실적 집계
2022-07,LATAM,중남미,2072892752.0,3293588253.0,-1220695501.0,관세청 국가별 수출입실적 집계
2022-07,MIDDLE_EAST,중동,2081213865.0,11179038895.0,-9097825030.0,관세청 국가별 수출입실적 집계
2022-07,US,미국,10104092349.0,6690429091.0,3413663258.0,관세청 국가별 수출입실적 집계
2022-08,ASEAN,아세안,10821478532.0,7776763236.0,3044715296.0,관세청 국가별 수출입실적 집계
2022-08,CIS,CIS,857548389.0,1424770758.0,-567222369.0,관세청 국가별 수출입실적 집계
2022-08,CN,중국,13116160377.0,13501247802.0,-385087425.0,관세청 국가별 수출입실적 집계
2022-08,EU27,EU(27),5398353509.0,5862099702.0,-463746193.0,관세청 국가별 수출입실적 집계
2022-08,IN,인도,1630462417.0,681161970.0,949300447.0,관세청 국가별 수출입실적 집계
2022-08,JP,일본,2546588066.0,4462975343.0,-1916387277.0,관세청 국가별 수출입실적 집계
2022-08,LATAM,중남미,2192918590.0,2769202785.0,-576284195.0,관세청 국가별 수출입실적 집계
2022-08,MIDDLE_EAST,중동,1882840873.0,10887806225.0,-9004965352.0,관세청 국가별 수출입실적 집계
2022-08,US,미국,8751247017.0,7779216057.0,972030960.0,관세청 국가별 수출입실적 집계
2022-09,ASEAN,아세안,10226003366.0,7562275558.0,2663727808.0,관세청 국가별 수출입실적 집계
2022-09,CIS,CIS,956143995.0,1136641040.0,-180497045.0,관세청 국가별 수출입실적 집계
2022-09,CN,중국,13342692411.0,12677996005.0,664696406.0,관세청 국가별 수출입실적 집계
2022-09,EU27,EU(27),5409112292.0,5282762571.0,126349721.0,관세청 국가별 수출입실적 집계
2022-09,IN,인도,1615030189.0,577671372.0,1037358817.0,관세청 국가별 수출입실적 집계
2022-09,JP,일본,2581742556.0,4435941785.0,-1854199229.0,관세청 국가별 수출입실적 집계
2022-09,LATAM,중남미,2000446977.0,2766650663.0,-766203686.0,관세청 국가별 수출입실적 집계
2022-09,MIDDLE_EAST,중동,1834627199.0,9217751458.0,-7383124259.0,관세청 국가별 수출입실적 집계
2022-09,US,미국,9248928412.0,6657837343.0,2591091069.0,관세청 국가별 수출입실적 집계
2022-10,ASEAN,아세안,9230914029.0,6649234516.0,2581679513.0,관세청 국가별 수출입실적 집계
2022-10,CIS,CIS,1134302651.0,1426213251.0,-291910600.0,관세청 국가별 수출입실적 집계
2022-10,CN,중국,12155840722.0,13411940587.0,-1256099865.0,관세청 국가별 수출입실적 집계
2022-10,EU27,EU(27),5616300743.0,5559671011.0,56629732.0,관세청 국가별 수출입실적 집계
2022-10,IN,인도,1403230320.0,521848164.0,881382156.0,관세청 국가별 수출입실적 집계
2022-10,JP,일본,2272321310.0,4300343099.0,-2028021789.0,관세청 국가별 수출입실적 집계
2022-10,LATAM,중남미,1766417519.0,2713812919.0,-947395400.0,관세청 국가별 수출입실적 집계
2022-10,MIDDLE_EAST,중동,1915299834.0,8337954706.0,-6422654872.0,관세청 국가별 수출입실적 집계
2022-10,US,미국,8591667627.0,6692906203.0,1898761424.0,관세청 국가별 수출입실적 집계
2022-11,ASEAN,아세안,9044000654.0,6184050927.0,2859949727.0,관세청 국가별 수출입실적 집계
2022-11,CIS,CIS,1288327356.0,1590536454.0,-302209098.0,관세청 국가별 수출입실적 집계
2022-11,CN,중국,11377959892.0,12129046026.0,-751086134.0,관세청 국가별 수출입실적 집계
2022-11,EU27,EU(27),5274215618.0,5925524023.0,-651308405.0,관세청 국가별 수출입실적 집계
2022-11,IN,인도,1379462376.0,537507371.0,841955005.0,관세청 국가별 수출입실적 집계
2022-11,JP,일본,2301715702.0,4313251522.0,-2011535820.0,관세청 국가별 수출입실적 집계
2022-11,LATAM,중남미,1746688075.0,2473591319.0,-726903244.0,관세청 국가별 수출입실적 집계
2022-11,MIDDLE_EAST,중동,1919148436.0,8567360665.0,-6648212229.0,관세청 국가별 수출입실적 집계
2022-11,US,미국,8775693693.0,6529866133.0,2245827560.0,관세청 국가별 수출입실적 집계
2022-12,ASEAN,아세안,9338190306.0,6786924867.0,2551265439.0,관세청 국가별 수출입실적 집계
2022-12,CIS,CIS,1019075747.0,1633823443.0,-614747696.0,관세청 국가별 수출입실적 집계
2022-12,CN,중국,11197864972.0,11810033842.0,-612168870.0,관세청 국가별 수출입실적 집계
2022-12,EU27,EU(27),6287254680.0,6753539530.0,-466284850.0,관세청 국가별 수출입실적 집계
2022-12,IN,인도,1486069896.0,497546033.0,988523863.0,관세청 국가별 수출입실적 집계
2022-12,JP,일본,2428656289.0,4479917401.0,-2051261112.0,관세청 국가별 수출입실적 집계
2022-12,LATAM,중남미,2139589651.0,2803615121.0,-664025470.0,관세청 국가별 수출입실적 집계
